entity,why
Q1150083,quarter
Q555882,dirt
Q192242,frustration
Q1107656,garden
Q3947,house
Q25107,power
Q158668,private
Q857784,camp
Q3109046,this
Q231823,purpose
Q11379,energy
Q397239,edition
Q161524,mask
Q7565,father
Q216285,chapter
Q1134322,sight
Q845126,difference
Q43261,horizon
Q2386606,right
Q1105534,freeze
Q40231,election
Q35473,window
Q29485,error
Q154425,toe
Q189004,college
Q1772698,affair
Q311681,who
Q817765,path
Q3519259,count
Q12644761,visitor
Q17008256,collection
Q192270,consumption
Q86447,issue
Q40821,surgery
Q208195,pleasure
Q978044,executive
Q11432,gas
Q14710,mount
Q11469,glass
Q5326940,earnings
Q468756,shore
Q39911,decade
Q397,Latin
Q1270787,she
Q239790,United
Q24489,coal
Q1079196,command
Q3088430,resistance
Q39546,tool
Q43193,truck
Q2630146,core
Q1230584,diversity
Q132137,icon
Q903577,break
Q52943,conversation
Q652,Italian
Q3087607,sweet
Q159394,defendant
Q1499786,climb
Q17285,plane
Q7566,parent
Q7722,morning
Q7063001,notice
Q131288,immigration
Q41415,soup
Q123705,neighborhood
Q7364,eye
Q331481,cover
Q339587,ban
Q37425,knee
Q758238,attribute
Q11264559,heritage
Q525155,contact
Q1274115,responsibility
Q4,death
Q1630279,guideline
Q1072012,international
Q80973,breakfast
Q19833559,preparation
Q3885844,origin
Q327055,worker
Q2165236,everything
Q8134,economics
Q482994,album
Q10911683,serve
Q152574,coat
Q22855,consumer
Q42889,vehicle
Q83267,crime
Q174834,authority
Q726,horse
Q1824143,delivery
Q484298,surface
Q17991521,tale
Q5113,bird
Q875157,resort
Q464980,exhibition
Q1445650,holiday
Q1153773,out
Q4116378,confidence
Q338754,control
Q1851760,victim
Q9644,joint
Q289891,enemy
Q93352,coast
Q283102,afternoon
Q749212,gentleman
Q1812346,legacy
Q13428325,breath
Q177053,Mr
Q6266,nation
Q1682108,vision
Q1503211,pine
Q190685,PC
Q128234,case
Q736288,rate
Q1362683,expectation
Q169545,tire
Q658371,extra
Q11707,restaurant
Q13196750,left
Q182832,concert
Q194112,value
Q7363,nose
Q703087,provision
Q56289743,counselor
Q47541952,producer
Q1318370,term
Q131841,idea
