id,label,count,relevant,event
Q13442814,scholarly article,36784648,,
Q5,human,9136396,1,
Q523,star,3643977,,
Q16521,taxon,3437914,,
Q4167836,Wikimedia category,2703771,,
Q67206691,infrared source,2622944,,
Q318,galaxy,2133771,,
Q7318358,review article,2085990,,
Q11173,chemical compound,1238304,,
Q7187,gene,1203200,,
Q8054,protein,987655,,
Q4167410,Wikimedia disambiguation page,728636,,
Q79007,street,573163,,
Q871232,editorial,511809,,
Q2668072,collection,501883,,
Q101352,family name,478536,,
Q8502,mountain,443679,,
Q1931185,astronomical radio source,397587,,
Q3305213,painting,367632,,
Q30612,clinical trial,356840,,
Q11266439,Wikimedia template,355493,,
Q2247863,high proper-motion star,306669,,
Q1457376,eclipsing binary star,296486,,
Q4022,river,295450,,
Q54050,hill,283862,,
Q486972,human settlement,254326,,
Q41176,building,250558,,
Q3863,asteroid,247280,,
Q482994,album,224882,,
Q13433827,encyclopedia article,224133,,
Q532,village,197146,,
Q11424,film,190520,,
Q47150325,calendar day of a given year,189335,,
Q2782326,case report,187237,,
Q13406463,Wikimedia list article,179858,,
Q83373,quasar,178326,,
Q16970,church building,177088,,
Q19389637,biographical article,163577,,
Q4830453,business,162037,1,
Q2154519,astrophysical X-ray source,156825,,
Q29654788,Unicode character,151163,,
Q9842,primary school,137471,,
Q21014462,cell line,134830,,
Q61443690,branch post office,129182,,
Q18593264,item of collection or exhibition,128415,,
Q49008,prime number,127531,,
Q59199015,group of stereoisomers,123982,,
Q11060274,print,122852,,
Q47521,stream,110040,,
Q815382,meta-analysis,109669,,
Q23397,lake,107695,,
Q3947,house,106069,,
Q23038290,fossil taxon,105176,,
Q1153690,long-period variable star,99039,,
Q3331189,"version, edition, or translation",97694,,
Q726242,RR Lyrae variable,96938,,
Q7725634,literary work,96493,,
Q5633421,scientific journal,94712,,
Q27020041,sports season,94373,1,
Q427087,non-coding RNA,91775,,
Q811979,architectural structure,91660,,
Q23442,island,91469,,
Q355304,watercourse,91094,,
Q7604686,UK Statutory Instrument,88776,,
Q1260524,time of the day,87878,,
Q204107,galaxy cluster,87151,,
Q1348305,erratum,80929,,
Q473972,protected area,80694,,
Q93184,drawing,80240,,
Q55488,railway station,79991,,
Q57733494,badminton event,79347,,1
Q71963409,compact group of galaxies,78900,,
Q105543609,musical work/composition,77848,,
Q67206701,far-IR source,77419,,
Q215380,musical group,76841,,
