label,translation
Mitsubishi Pajero iO,Mitsubishi Pajero io
Pajero TR4,Pajero TR4
Changfeng Liebao Feiteng CFA 6400,Changfeng Liebao Feiteng CFA 6400
Montero iO,Montero io
Chevrolet HHR,Chevrolet HHR
Wii game series,Serie de juego de Wii
Wii series,serie Wii
Wii game line,Línea de juego Wii
Wii line,Línea Wii
M4 motorway,Autopista M4
Perkins School for the Blind,Escuela Perkins para ciego
Perkins School for Blind,Escuela Perkins para ciego
Perkins Institution for the Blind,Institución Perkins para ciego
Chautauqua movement,Movimiento de Chautauqua
Rapala VMC Oyj,Rapala VMC Oyj
1993-94 NHL season,Temporada de el NHL 1993-94
1993–94 NHL season,Temporada de el NHL 1993-94
VEB Automobilwerk Eisenach,VEB Automobilwerk Eisenach
Zeig mal!,¡Zeig Mal!
Minzu University of China,Universidad de Minzu de China
Central University for Nationalities,Universidad Central para el Nacionalidades
PC Engine SuperGrafx,supergrafx del motor de PC
Socialist Party of Indonesia,Partido Socialista de Indonesia
501st Legion,Legión 501
polycystic liver disease,enfermedad hepático poliquístico
(Congenital cystic liver disease) or,(enfermedad hepático quística congénita) o
Congenital cystic disease of liver,Enfermedad quístico congénita del hígado
Congenital cystic disease of liver,Enfermedad quístico congénita del hígado
Congenital cystic liver disease,Enfermedad hepático quística congénita
Congenital cystic liver disease NOS,Enfermedad hepático quística congénita NOS
Fibrocystic disease of liver,Enfermedad fibroquístico del hígado
Fibrocystic liver disease,Enfermedad hepático fibroquístico
congenital hepatic cyst,quistar hepático congénito
congenital cystic liver disease,enfermedad hepático quística congénita
2002 Men's World Ice Hockey Championships,Campeonato Mundial de hockey sobre hielo masculino 2002
Allen's test,prueba de Allen
Allen test,prueba de Allen
UEFA Euro 2012 Group C,UEFA Euro 2012 Grupo C
Tears to Tiara,Lágrima a Tiara
The Devil in the White City,El diablo en el ciudad blanco
Ukrainian Democratic Alliance for Reform,Alianza Democrática Ucraniana para el Reforma
SC Bietigheim-Bissingen,SC Bietigheim-Bissingen
total loss,pérdida total
written off,amortización
Treptow an der Rega,Treptow an der Rega
İmam Hatip school,Escuela de İmam Hatip
Imam Hatip school,Escuela Imam Hatip
WuFeng University,Universidad de WuFeng
Lancia ECV,ECV de Lancia
The Education of Little Tree,El educación del pequeño árbol
escort vehicle,vehículo de escolta
pilot vehicle,vehículo piloto
intramural sports,deporte intramural
JSC PhosAgro,JSC phosagro
Škoda Fabia II,Škoda Fabia II
Mac transition to Intel processors,Transición Mac a el procesador Intel
Apple's transition to Intel processors,El transición de Apple a el procesador Intel
SportsNet New York,sportsnet Nueva York
unified numbering system,sistema de numeración unificado
alloy designation system,sistema de designación de aleación
Metals and Alloys in the Unified Numbering System,Metales y aleación en el sistema de numeración unificado
American Enterprise Institute for Public Policy Research,Instituto Americano de el Empresa para el Investigación de Políticas Públicas
AEI Press,Prensa AEI
The American Heritage Dictionary of the English Language,El Diccionario del Patrimonio Americano del Idioma Inglés
Amici di Maria De Filippi,Amici di María De Filippi
National Monument on Dam Square,Monumento nacional en el Plaza de Dam
King Mongkut's University of Technology Thonburi,Universidad de Tecnología del Rey Mongkut Thonburi
Sixth and Seventh Books of Moses,El sexto y el séptimo libro de Moisés
Seoul National University of Science and Technology,Universidad Nacional de Ciencia y Tecnología de Seúl
WeMade Entertainment,WeMade Entretenimiento
Hyundai ix20,Hyundai ix20
House of Dreux,Casa de Dreux
experimental autoimmune encephalomyelitis,encefalomielitis autoinmune experimental
The Emperor of Portugallia,El emperador de Portugal
Bangladesh University of Engineering and Technology,Universidad de Ingeniería y Tecnología de Bangladesh
Bangladesh University of Engineering & Technology,Universidad de Ingeniería y Tecnología de Bangladesh
Tag rugby,Etiqueta de rugby
Mrs de Winter,Sra. de Winter
2006–07 DFB-Pokal,2006-2007 DFB-Pokal
2006-07 DFB-Pokal,2006-07 DFB-Pokal
Massif de la Sainte-Baume,Macizón de el Sainte-Baume
Conversations in Sicily,Conversación en Sicilia
Finnish People's Democratic League,Liga Democrática Popular de Finlandia
multiple endocrine neoplasia type 2A,neoplasio endocrina múltiple tipo 2A
Sipple syndrome,Síndrome de Sipple
multiple endocrine neoplasia II,neoplasio endocrina múltiple II
MEA Type II,MEA Tipo II
MEA Type 2a,MEA Tipo 2a
Pheochromocytoma and Amyloid-Producing Medullary Thyroid Carcinoma,Feocromocitoma y carcinoma de tiroid medular que producir amiloid
Pheochromocytoma and amyloid producing medullary thyroid carcinoma,Feocromocitoma y carcinomar medular de el tiroid que producir amiloidir
Multiple Endocrine Adenomatosis Type II,Adenomatosis endocrín múltiple tipo II
Multiple Endocrine Neoplasia Type 2a,Neoplasia endocrinar múltiple tipo 2a
Multiple Endocrine Adenomatosis Type 2a,Adenomatosis endocrín múltiple tipo 2a
MEN-2A syndrome,Síndrome de MEN-2A
Multiple Endocrine Neoplasia  Type II,Neoplasia endocrinar múltiple tipo II
Multiple Endocrine Neoplasia Type II,Neoplasia endocrinar múltiple tipo II
MEN Type II,MEN Tipo II
MEN Type 2a,MEN Tipo 2a
Multiple Endocrine Adenomatosis  Type II,Adenomatosis endocrín múltiple tipo II
Swedish bandy championship,Campeonato de Bandy de Sueco
Supreme Prosecutors' Office of the Republic of Korea,Oficina de el Fiscalía Suprema de el República de Corea
House of Gâtinais-Anjou,Casa de Gâtinas-Anjou
House of Château-Landon,Casa de Château-Landon
Second House of Anjou,Segundo Casa de Anjou
House of Anjou,Casa de Anjou
House of Gatinais-Anjou,Casa de Gatinais-Anjou
House of Chateau-Landon,Casa de Chateau-Landon
