label,translation
New People's Party,Nouveau partir populaire
Liga Uruguaya de Basketball,Liga Uruguaya de Basketball
Liga Uruguaya de Básquetbol,Liga Uruguaya de Básquetbol
Liga Uruguaya de Basquetbol,Liga Uruguaya de Basquetbol
M4 motorway,Autoroute M4
1993 IndyCar season,Saison de indycar 1993
Tieta de Agreste,Lien vers Agreste
Tieta do Agreste,Le Maison de l
1984–85 in English football,1984–85 en football angler
1984-85 in English football,1984-85 en football angler
Zeig mal!,Zeig mal !
Democratic Party of Vietnam,Partir Démocratique de Vietnam
Copa FGF,Copa FGF
The Far Side of the World,Le face cacher de monde
WuFeng University,Université WuFeng
escort vehicle,véhicule d
pilot vehicle,véhicule pilote
intramural sports,sport intra-muro
November 1963 Iraqi coup d'état,Novembre 1963 Coup d irakien
The American Heritage Dictionary of the English Language,Le Dictionnaire de patrimoine américain de le langue anglaise
King Mongkut's University of Technology Thonburi,Université de Technologie de Roi Mongkut Thonburi
Sixth and Seventh Books of Moses,Sixième et septième Livre de Moïse
molecular physics,physique moléculaire
Mrs de Winter,Monsieur de Hiver
lost  mislaid  and abandoned property,bien perdre égarer et abandonner
lost property,bien perdre
mislaid property,propriété mislaid
abandoned property,propriété abandonner
unclaimed property,propriété non réclamer
The Freedom of a Christian,Le liberté d chrétien
Swedish bandy championship,Championnat de Suède de bandy
Supreme Prosecutors' Office of the Republic of Korea,Bureau de procureur suprême de le République de Corée
먼데이 키즈,먼데이 키즈
Defense Counterintelligence and Security Agency,Agence de contre-espionnage et de sécurité de le défense
The sweet city,Le douce ville
Lila: An Inquiry into Morals,Lila: Un enquête sur le morale
dmedia T-REX,dmedier T-REX
AKB48 Team TP,AKB48 Équipe TP
STAR Chinese Movies,Star Film chinois
The Shape of Water,Le forme de l
Call to Australia Party,Appel à le fête de l
Promotion to the Bundesliga,Promotion en Bundesliga
CZAW SportCruiser,sportcruiser de CZAW
Interstate 90 in Indiana,Interstate 90 dans l
Interstate 80 in New Jersey,Interstate 80 dans le New Jersey
Bentley T-series,Bentley Série T
U.S. Route 30 in Pennsylvania,U.S. Route 30 en Pennsylvanie
The True Confessions of Charlotte Doyle,Le vraie confession de Charlotte Doyle
Unión Cívica Radical del Pueblo,Unión Cívica Radical del Pueblo
Macau University of Science and Technology,Université de science et de le technologie de Macao
Asian values,Le valeur asiatique
The Colosseum at Caesars Palace,Le Colisée au Caesars Palace
U.S. Route 95 in Nevada,U.S. Route 95 dans le Nevada
triarylmethane dye,colorer de triarylméthane
triarylmethane dyes,colorant triarylméthane
triphenylmethane dye,colorer de triphénylméthane
1996 Major League Baseball season,Saison 1996 de le Ligue majeur de baseball
The Seven Sins of Memory,Le sept péché de le mémoire
