alias,id
Covid,Q84263196
coronavirus,Q84263196
coronavirus pandemic,Q84263196
Iran,Q794
Mac,Q75687
France,Q142
dog,Q144
cat,Q146
car,Q1420
NASA,Q23548
Tesla,Q478214
Aachen,Q152835
Abramson,Q162050
Aeschbacher,Q116550
Altdorfer,Q153746
Appel,Q152793
Arcimboldo,Q7751
Arkhipov,Q80588
Arnim,Q66481
Arnold,Q75284
Astruc,Q50656
Bacon,Q154340
Balleroy,Q162038
Ballmer,Q121728
Barraud,Q123715
Bauer,Q72615
Bellini,Q17169
Bendemann,Q69651
Benoist,Q118810
Beyer,Q72207
Böcklin,Q123071
Bogusławski,Q43628
Bondone,Q7814
Bonnard,Q26408
Botticelli,Q5669
Bramante,Q7793
Bramantino,Q7799
Braque,Q153793
Braren,Q20683
Bronzino,Q7803
Bryullov,Q4768
Buoninsegna,Q15792
Caravaggio,Q42207
Carpaccio,Q5581
Carracci,Q7824
Castiglione,Q40823
Cézanne,Q35548
Chirico,Q156622
Churberg,Q139836
Cimabué,Q15790
Claudel,Q120582
Corot,Q148475
Correggio,Q8457
Courbet,Q34618
Crosthwait,Q63402
Cukier,Q72470
Dai-chien,Q163298
Dali,Q5577
Degas,Q46373
Delacroix,Q33477
Delaunay,Q33978
Derain,Q156272
Dicker-Brandeis,Q85924
Dix,Q153104
Drost,Q60099
Duchamp,Q5912
Dyck,Q150679
Ensor,Q158840
Feininger,Q158255
Fishman,Q129525
Fragonard,Q127171
Freud,Q154594
Friedrich,Q104884
Gambara,Q123806
Gauguin,Q37693
Gessner,Q123765
Giezendanner,Q123743
Giorgione,Q8459
Goya,Q5432
Gris,Q151152
Grosz,Q107194
Grünewald,Q154338
Hadid,Q47780
Hausmann,Q84503
Hellqvist,Q63596
Hesselius,Q130717
Hitz,Q113144
Hohenstein,Q76185
Holbe,Q48319
Holbein,Q123732
Hrdlicka,Q78646
Hyre,Q59894
Ingres,Q23380
Itten,Q123138
Ivanov,Q76829
Jawlensky,Q156426
Kahlo,Q5588
Kandinsky,Q61064
Kauffmann,Q123098
Klein,Q154335
Klenze,Q60163
Klever,Q89421
Klimt,Q34661
Knobelsdorff,Q65901
Kokoschka,Q154260
Kooning,Q132305
Kuhn,Q118798
Laserstein,Q74642
Lechowski,Q31242
Leighton,Q142420
Lindner,Q126074
Longhi,Q31146
Luna,Q28867
Macke,Q33981
Magritte,Q7836
Maillol,Q153920
Mandijn,Q31298
Manet,Q40599
Mantegna,Q5681
Marc,Q44054
Márffy,Q111827
Masaccio,Q5811
Mathews,Q74987
Mattheuer,Q87268
Mazzola,Q64340
Messina,Q5594
Metzenmacher,Q112802
Millais,Q159606
Mind,Q116606
Miró,Q152384
Modigliani,Q120993
Mondrian,Q151803
Monet,Q296
Morisot,Q105320
Moser,Q45055
Munch,Q41406
Nolde,Q152788
O'Keeffe,Q46408
Oppenheim,Q61594
Parmigianino,Q9348
Perugino,Q5827
Peters,Q119943
Picabia,Q157321
Picasso,Q5593
Pins,Q96527
Pinturicchio,Q5591
Pizzirani,Q139821
Pollock,Q37571
Portaña,Q117543
Poussin,Q41554
Rauch,Q62331
Ray,Q46139
Redon,Q154349
Rembrandt,Q5598
Reni,Q109061
Rococo,Q122960
Rothko,Q160149
Rousseau,Q156386
Rubens,Q5599
Sándorfi,Q44126
Sargent,Q155626
Schiele,Q44032
Schillig,Q119208
Schorn,Q63462
Schulze-Knabe,Q97467
Schwitters,Q155158
Serebriakova,Q161858
Seurat,Q34013
Sher-Gil,Q150312
Signac,Q151573
Simonet,Q94851
Sodoma,Q8506
Soutine,Q160141
Surikov,Q110228
Tanobe,Q133390
Tàpies,Q158099
Telleria,Q28819
Tinguely,Q163938
Tintoretto,Q9319
Titian,Q47551
