alias,id
climate change,Q7942
global warming,Q7942
Afghan,Q889
Albanian,Q222
Algerian,Q262
American Samoan,Q16641
Andorran,Q228
Angolan,Q916
Antiguan,Q781
Barbudan,Q781
Argentine,Q414
Argentinian,Q414
Armenian,Q399
Aruban,Q21203
Australian,Q408
Austrian,Q40
Azerbaijani,Q227
Bahraini,Q398
Bangladeshi,Q902
Barbadian,Q244
Belarusian,Q184
Belgian,Q31
Belizean,Q242
Beninese,Q962
Bhutanese,Q917
Bosnian,Q225
Motswana,Q963
Brazilian,Q155
Bruneian,Q921
Bulgarian,Q219
Burkinabé,Q965
Burundian,Q967
Cambodian,Q424
Cameroonian,Q1009
Canadian,Q16
Central African,Q929
Chadian,Q657
Chilean,Q298
Colombian,Q739
Comoran,Q970
Cook Island,Q26988
Costa Rican,Q800
Croatian,Q224
Cuban,Q241
Cypriot,Q229
Czech,Q213
Danish,Q35
Djiboutian,Q3604
Dominican,Q784
Dominican,Q786
Ecuadorian,Q736
Egyptian,Q79
Salvadoran,Q792
English,Q21
Equatorial Guinean,Q983
Eritrean,Q986
Estonian,Q191
Swazi,Q1050
Ethiopian,Q115
Fijian,Q712
Finnish,Q33
French,Q142
Gabonese,Q1000
Georgian,Q1428
German,Q183
Ghanaian,Q117
Greek,Q41
Grenadian,Q769
Guatemalan,Q774
Guinean,Q1006
Bissau-Guinean,Q1007
Guyanese,Q734
Haitian,Q790
Honduran,Q783
Hungarian,Q28
Icelandic,Q189
Indian,Q668
Indonesian,Q252
Iraqi,Q796
Israeli,Q801
Italian,Q38
Jamaican,Q766
Japanese,Q17
Jordanian,Q810
Kazakhstani,Q232
Kenyan,Q114
Kiribati,Q710
Kuwaiti,Q817
Kyrgyzstani,Q813
Kirgiz,Q813
Latvian,Q211
Lebanese,Q822
Basotho,Q1013
Liberian,Q1014
Libyan,Q1016
Liechtensteiner,Q347
Lithuanian,Q37
Luxembourg,Q1842
Malagasy,Q1019
Malawian,Q1020
Malaysian,Q833
Maldivian,Q826
Malian,Q912
Maltese,Q233
Marshallese,Q709
Mauritanian,Q1025
Mauritian,Q1027
Mexican,Q96
Moldovan,Q217
Monégasque,Q235
Mongolian,Q711
Montenegrin,Q236
Moroccan,Q1028
Mozambican,Q1029
Namibian,Q1030
Nauruan,Q697
Nepali,Q837
Dutch,Q55
New Zealand,Q664
Nicaraguan,Q811
Nigerien,Q1032
Nigerian,Q1033
Niuean,Q34020
Macedonian,Q221
Northern Marianan,Q16644
Norwegian,Q20
Omani,Q842
Pakistani,Q843
Palauan,Q695
Panamanian,Q804
Papua New Guinean,Q691
Paraguayan,Q733
Peruvian,Q419
Filipino,Q928
Polish,Q36
Portuguese,Q45
Qatari,Q846
Romanian,Q218
Rwandan,Q1037
Kittitian,Q763
Saint Lucian,Q760
Saint Vincentian,Q757
Samoan,Q683
Sammarinese,Q1848
Saudi,Q851
Senegalese,Q1041
Serbian,Q403
Seychellois,Q1042
Sierra Leonean,Q1044
Singapore,Q334
Sint Maarten,Q26273
Slovak,Q214
Slovenian,Q215
Solomon Island,Q685
Somali,Q1045
Somalian,Q1045
Somalilander,Q34754
South African,Q258
South Sudanese,Q958
Spanish,Q29
Sri Lankan,Q854
Sudanese,Q1049
Surinamese,Q730
Swedish,Q34
Swiss,Q39
Taiwanese,Q865
Tajikistani,Q863
Tanzanian,Q924
Thai,Q869
Togolese,Q945
Tongan,Q678
Trinidadian,Q754
Tunisian,Q948
Turkish,Q43
Turkmen,Q874
Tuvaluan,Q672
Ugandan,Q1036
Ukrainian,Q212
Emirati,Q878
Emiri,Q878
American,Q30
Uruguayan,Q77
Uzbekistani,Q265
Ni-Vanuatu,Q686
Vietnamese,Q881
Welsh,Q25
Yemeni,Q805
Zambian,Q953
Zimbabwean,Q954
Azeri,Q227
Beninois,Q962
Herzegovinian,Q225
Botswanan,Q963
Comorian,Q970
Equatoguinean,Q983
Swati,Q1050
Hellenic,Q41
Magyar,Q28
Israelite,Q801
Kazakh,Q232
Kyrgyz,Q813
Kirghiz,Q813
Lettish,Q211
Luxembourgish,Q1842
Malinese,Q912
Monacan,Q235
Nepalese,Q837
Netherlandic,Q55
Papuan,Q691
Philippine,Q928
Nevisian,Q763
Vincentian,Q757
Saudi Arabian,Q851
Singaporean,Q334
Slovene,Q215
Formosan,Q865
Tobagonian,Q754
Emirian,Q878
Uzbek,Q265
Vanuatuan,Q686
Himalayan,Q5451
China,Q148
Tottenham,Q503375
