alias,id
cambio climático,Q7942
calentamiento global,Q7942
afgano,Q889
albanés,Q222
argelino,Q262
Samoa americana,Q16641
Andorrana,Q228
Angoleño,Q916
Antiguano,Q781
Barbudan,Q781
Argentino,Q414
Argentino,Q414
armenio,Q399
Aruba,Q21203
australiano,Q408
austriaco,Q40
Azerbaiyano,Q227
Bahreiní,Q398
Bangladesí,Q902
Barbadense,Q244
Bielorruso,Q184
Belga,Q31
Beliceño,Q242
Beninés,Q962
Butanés,Q917
bosnio,Q225
Motswana,Q963
brasileño,Q155
Bruneano,Q921
búlgaro,Q219
Burkinabé,Q965
Burundés,Q967
camboyano,Q424
Camerunés,Q1009
canadiense,Q16
Centroafricano,Q929
Chadiano,Q657
chileno,Q298
Colombiana,Q739
Comoran,Q970
Isla Cook,Q26988
Costa Rica,Q800
croata,Q224
cubano,Q241
Chipriota,Q229
checo,Q213
danés,Q35
Djibouti,Q3604
dominicano,Q784
dominicano,Q786
ecuatoriano,Q736
egipcio,Q79
salvadoreño,Q792
inglés,Q21
Ecuatoguineano,Q983
Eritreo,Q986
Estonio,Q191
Swazi,Q1050
etíope,Q115
Fiyiano,Q712
finlandés,Q33
francés,Q142
Gabonés,Q1000
georgiano,Q1428
alemán,Q183
ghanés,Q117
griego,Q41
Granadino,Q769
guatemalteco,Q774
Guineano,Q1006
Bissau-Guinea,Q1007
Guyanés,Q734
haitiano,Q790
Hondureño,Q783
húngaro,Q28
islandés,Q189
indio,Q668
indonesio,Q252
iraquí,Q796
israelí,Q801
italiano,Q38
jamaicano,Q766
japonés,Q17
Jordano,Q810
Kazajo,Q232
Keniano,Q114
Kiribati,Q710
Kuwaití,Q817
Kirguistán,Q813
Kirgiz,Q813
letón,Q211
libanés,Q822
Basotho,Q1013
Liberiano,Q1014
libio,Q1016
Liechtensteiner,Q347
lituano,Q37
Luxemburgo,Q1842
madagascarí,Q1019
Malauí,Q1020
malasio,Q833
Maldivas,Q826
Maliense,Q912
maltés,Q233
Marshalés,Q709
mauritano,Q1025
mauriciano,Q1027
mexicano,Q96
Moldavo,Q217
Monegasco,Q235
mongol,Q711
montenegrino,Q236
marroquí,Q1028
mozambiqueño,Q1029
namibio,Q1030
Nauruano,Q697
Nepalí,Q837
holandés,Q55
Nueva Zelanda,Q664
nicaragüense,Q811
Nigerien,Q1032
nigeriano,Q1033
Niuean,Q34020
macedónio,Q221
Marianan del Norte,Q16644
noruego,Q20
omaní,Q842
pakistaní,Q843
Palauano,Q695
panameño,Q804
Papua Nueva Guinea,Q691
paraguayo,Q733
peruano,Q419
Filipino,Q928
polaco,Q36
portugués,Q45
Qatarí,Q846
rumano,Q218
Ruandes,Q1037
Kittitian,Q763
Santa luciana,Q760
San vicentino,Q757
Samoano,Q683
Sammarinés,Q1848
Saudí,Q851
Senegalés,Q1041
serbio,Q403
Seychellois,Q1042
Sierra Leona,Q1044
Singapur,Q334
Sint Maarten,Q26273
eslovaco,Q214
esloveno,Q215
Isla salomón,Q685
somalí,Q1045
somalí,Q1045
Somalilander,Q34754
sudafricano,Q258
Sursudaneses,Q958
Español,Q29
de Sri Lanka,Q854
sudanés,Q1049
surinamés,Q730
sueco,Q34
suizo,Q39
Taiwanés,Q865
Tayikistán,Q863
Tanzano,Q924
tailandés,Q869
Togoleses,Q945
Tongano,Q678
Trinitense,Q754
tunecino,Q948
turco,Q43
Turcomano,Q874
Tuvaluano,Q672
Uganda,Q1036
ucranio,Q212
Emirati,Q878
Emiri,Q878
americano,Q30
uruguayo,Q77
Uzbeko,Q265
Ni-Vanuatu,Q686
vietnamita,Q881
galés,Q25
yemenita,Q805
Zambiano,Q953
zimbabuo,Q954
Azerí,Q227
Beninois,Q962
Herzegoviniano,Q225
Botswana,Q963
Comorano,Q970
Ecuatoguineano,Q983
Swati,Q1050
helénico,Q41
magiar,Q28
israelita,Q801
Kazajo,Q232
Kirguís,Q813
Kirguís,Q813
letón,Q211
Luxemburgués,Q1842
Malinés,Q912
Monacan,Q235
nepalés,Q837
Holandés,Q55
papú,Q691
filipino,Q928
Nevisian,Q763
Vicentino,Q757
Arabia Saudita,Q851
Singapurense,Q334
esloveno,Q215
Formosano,Q865
Tobagonian,Q754
Emirian,Q878
Uzbeko,Q265
Vanuatuan,Q686
Himalaya,Q5451
porcelana,Q148
Tottenham,Q503375
